# OLiA grammatical class → CCG lexical category — the universal lexical-category
# projection, carried as DATA (loaded into a Connection / GeneratorAction::Functor
# and interpreted, never a Rust `match`).
#
# Each row is one generator of the functor: an OLiA Reference-Model class
# (universal, cross-linguistic; the KEY) ↦ its CCG category in standard CCGbank
# notation (the VALUE; parsed to a LambekType by the notation parser). Only the
# word→class binding is language-specific (data/function-words/english.xml); this
# class→category map is language-agnostic in its key and CCGbank-grounded in its
# value.
#
# Sources:
#   • Classes: OLiA Reference Model (Chiarcos & Sukhareva 2015, Semantic Web
#     6(4), doi:10.3233/SW-140167), bundled data/ontologies/olia-2026-04-09.owl;
#     each fragment must resolve in that ontology (asserted at load).
#   • Categories: CCGbank (Hockenmaier & Steedman 2007, Computational
#     Linguistics 33(3)) + the C&C `markedup` category inventory; wh categories
#     are the standard subject-extraction / determiner / adjunct-extraction forms.
#
# This is the interrogative vertical slice (the first generators). The remaining
# POS rows that pos_to_lambek still hardcodes migrate here additively — exactly
# as wordnet_to_praxis_functor began with the is-a generator only (issue: full
# pos_to_lambek migration + full markedup).
#
# Format: <OLiA-class-fragment> <TAB> <CCG-category-notation>   (# = comment)

InterrogativePronoun	S[wq]/(NP\S)
InterrogativeDeterminer	S[wq]/(NP\S)/N
InterrogativeAdverb	S[wq]/(S[q]/PP)
