100089	Attribute	SUB	oewn-14508833-n
10009	SubjectiveAssessmentAttribute	SUB	oewn-00451201-r
100090	SubjectiveAssessmentAttribute	SUB	oewn-14509020-n
100091	SubjectiveAssessmentAttribute	SUB	oewn-14509110-n
100092	SubjectiveAssessmentAttribute	SUB	oewn-14509257-n
100093	SubjectiveAssessmentAttribute	SUB	oewn-14509395-n
100094	SubjectiveAssessmentAttribute	SUB	oewn-14509574-n
100095	Proposition	SUB	oewn-14509706-n
100096	Despair	EQ	oewn-14509858-n
100097	Depression	SUB	oewn-14510117-n
100098	SubjectiveAssessmentAttribute	SUB	oewn-14510223-n
100099	SubjectiveAssessmentAttribute	SUB	oewn-14510351-n
10010	HorseRacing	SUB	oewn-00451215-n
100100	SubjectiveAssessmentAttribute	SUB	oewn-14510610-n
100101	SubjectiveAssessmentAttribute	SUB	oewn-14510768-n
100102	Damaging	SUB	oewn-14511027-n
100103	Damaging	SUB	oewn-14511182-n
100104	Damaging	SUB	oewn-14511315-n
100105	Damaging	SUB	oewn-14511486-n
100106	Damaging	SUB	oewn-14511588-n
100107	Damaging	SUB	oewn-14511702-n
100108	Damaging	SUB	oewn-14511784-n
100109	CurrencyMeasure	SUB	oewn-14511901-n
10011	Removing	SUB	oewn-00451258-v
100110	CurrencyMeasure	SUB	oewn-14512178-n
100111	SubjectiveAssessmentAttribute	SUB	oewn-14512397-n
100112	SubjectiveAssessmentAttribute	SUB	oewn-14512496-n
100113	SubjectiveAssessmentAttribute	SUB	oewn-14512697-n
100114	SubjectiveAssessmentAttribute	SUB	oewn-14513107-n
100115	SubjectiveAssessmentAttribute	SUB	oewn-14513283-n
100116	Pliable	EQ	oewn-14513443-n
100117	Entity	SUB	oewn-14513694-n
100117	Obligation	EQ	oewn-14513694-n
100118	Liability	EQ	oewn-14513903-n
100119	Obligation	SUB	oewn-14514148-n
10012	Equitation	EQ	oewn-00451320-n
100120	Liability	SUB	oewn-14514269-n
100121	Liability	SUB	oewn-14514385-n
100122	Liability	SUB	oewn-14514618-n
100123	Obligation	SUB	oewn-14514755-n
100124	SubjectiveAssessmentAttribute	SUB	oewn-14514855-n
100125	SubjectiveAssessmentAttribute	SUB	oewn-14515209-n
100126	SubjectiveAssessmentAttribute	SUB	oewn-14515473-n
100127	SubjectiveAssessmentAttribute	SUB	oewn-14515700-n
100128	SubjectiveAssessmentAttribute	SUB	oewn-14515833-n
100129	SubjectiveAssessmentAttribute	SUB	oewn-14515957-n
10013	SubjectiveAssessmentAttribute	SUB	oewn-00451334-r
100130	SubjectiveAssessmentAttribute	SUB	oewn-14516218-n
100131	SubjectiveAssessmentAttribute	SUB	oewn-14516307-n
100132	SubjectiveAssessmentAttribute	SUB	oewn-14516537-n
100133	SubjectiveAssessmentAttribute	SUB	oewn-14516729-n
100134	SubjectiveAssessmentAttribute	SUB	oewn-14517010-n
100135	SubjectiveAssessmentAttribute	SUB	oewn-14517197-n
100136	SubjectiveAssessmentAttribute	SUB	oewn-14517300-n
100137	SubjectiveAssessmentAttribute	SUB	oewn-14517616-n
100138	Attribute	SUB	oewn-14517770-n
100139	Removing	SUB	oewn-14517942-n
100140	Process	SUB	oewn-14518178-n
100141	InternalAttribute	SUB	oewn-14518300-n
100142	SubjectiveAssessmentAttribute	SUB	oewn-14518477-n
100143	SubjectiveAssessmentAttribute	SUB	oewn-14518664-n
100144	BiologicalAttribute	SUB	oewn-14518814-n
100145	SubjectiveAssessmentAttribute	SUB	oewn-14519050-n
100146	SubjectiveAssessmentAttribute	SUB	oewn-14519173-n
